64,75,65,80,75,76,83,67,83,80,81,71,68,63,69,69,0,75,73,73,65,75,61,80,68
84,73,75,74,89,73,81,85,89,76,74,88,76,75,88,88,65,86,81,71,82,0,65,76,87
86,78,79,68,75,64,88,0,80,89,67,82,79,72,73,83,0,63,86,86,61,77,85,81,66
81,83,81,72,65,80,85,85,89,62,64,77,64,68,71,65,74,63,75,72,81,72,79,72,75
84,89,77,81,69,61,78,0,80,78,76,61,71,88,71,76,68,0,70,82,64,80,80,78,66
77,68,84,78,78,68,76,0,74,68,70,85,85,60,81,67,65,69,80,80,79,88,64,73,87
88,72,63,63,64,60,66,82,87,63,89,76,65,64,62,70,76,71,77,77,60,0,83,79,86
89,66,87,75,71,69,80,74,0,70,71,79,74,73,74,83,0,63,89,76,63,85,73,87,79
75,80,66,62,82,79,80,60,71,84,76,72,82,60,79,82,78,82,72,84,78,67,83,78,78
81,84,61,62,79,73,71,74,0,71,83,73,84,81,0,81,76,82,79,69,73,70,66,86,67
80,80,67,64,72,66,77,70,71,76,60,83,75,73,88,89,0,78,61,75,88,87,87,77,84
81,62,61,0,81,80,70,0,76,89,61,80,71,64,72,84,81,65,73,87,66,65,75,89,79
79,65,66,86,0,77,0,63,87,69,76,87,86,75,70,0,64,83,72,81,61,64,89,60,89
65,68,60,76,68,82,81,60,73,63,88,72,83,64,85,88,83,64,63,77,78,80,78,68,69
85,62,64,61,79,86,81,72,86,60,81,70,62,89,81,89,72,71,82,64,0,68,60,72,60
62,65,82,67,63,63,79,89,79,87,76,73,77,69,69,88,69,86,71,71,67,80,87,60,77
67,62,81,0,67,73,63,84,64,83,63,78,89,85,71,65,78,87,67,71,82,67,88,71,80
63,65,88,88,69,87,77,82,77,87,75,76,0,86,61,86,63,71,85,85,71,79,89,62,67
66,74,86,80,62,85,81,0,82,86,68,75,72,72,89,79,88,78,0,76,63,88,72,71,75
68,75,71,60,71,66,72,80,72,87,81,61,75,60,77,64,87,61,72,74,75,79,67,67,84
65,89,81,87,61,64,64,72,62,64,88,79,70,72,60,76,81,68,77,75,75,60,65,84,60
65,75,72,70,60,75,69,87,60,64,88,80,89,89,75,88,64,83,89,79,81,87,78,76,80
68,75,71,86,66,89,63,62,67,77,68,67,76,74,81,85,71,65,79,69,66,77,73,0,61
65,76,65,62,72,84,76,62,79,72,62,77,80,85,60,83,75,72,80,64,72,82,63,88,61
61,86,89,79,79,84,60,81,87,86,76,61,77,61,77,83,77,77,78,88,89,74,62,88,68
