88,70,83,69,82,71,86,75,61,81,66,89,64,82,87,83,78,75,84,89,63,88,0,64,60
0,87,81,74,86,0,72,62,76,0,72,86,61,60,67,72,82,87,72,79,83,63,86,87,65
63,78,79,87,88,63,62,76,69,89,82,63,76,67,65,83,84,85,73,74,85,88,84,77,69
83,76,85,82,62,60,75,69,89,89,84,73,89,70,81,68,67,69,62,60,62,88,80,83,63
70,85,89,69,67,83,86,63,70,70,61,69,64,76,63,73,79,60,61,79,71,83,78,60,72
72,69,61,61,77,84,61,74,84,77,65,0,80,61,68,74,61,60,70,75,62,66,87,62,89
85,89,62,88,85,0,75,78,69,81,66,86,84,74,61,69,73,74,71,60,69,64,63,69,71
72,64,77,74,64,82,83,72,64,74,64,72,86,78,85,60,77,72,77,0,87,65,87,70,87
81,84,83,0,62,85,76,84,67,80,0,72,80,76,81,62,81,87,83,76,68,86,85,82,79
72,89,70,87,75,71,63,69,71,69,71,84,86,63,67,88,85,65,88,69,70,85,73,73,72
0,65,68,66,75,68,61,71,72,71,66,78,75,87,81,76,69,71,77,79,69,87,0,80,82
75,68,61,78,77,0,80,84,66,69,88,70,64,62,87,74,73,83,72,82,82,76,78,81,88
76,61,74,87,0,76,78,74,87,65,78,83,65,75,75,62,62,82,65,71,71,88,72,86,71
64,69,71,87,74,62,71,0,85,84,60,68,70,76,81,70,82,63,81,81,87,71,85,70,70
88,63,78,87,71,61,79,67,89,79,88,76,71,86,66,83,64,64,70,83,61,83,62,68,75
63,89,87,77,86,77,89,69,79,75,87,88,74,89,85,84,61,68,87,86,75,71,63,70,89
0,78,83,83,82,63,83,62,74,76,84,76,68,78,82,80,0,67,68,0,78,61,79,66,73
0,66,74,74,84,70,70,71,78,0,88,60,64,86,86,67,79,67,84,73,79,76,64,69,61
84,74,87,65,84,74,69,75,88,80,63,66,85,78,66,70,89,72,81,63,80,78,86,60,79
74,77,83,71,88,71,85,86,80,79,67,65,79,76,81,63,65,61,65,0,76,84,63,76,71
82,65,86,88,75,73,0,72,88,73,61,75,83,78,67,73,64,0,81,85,75,83,80,84,79
74,88,63,82,60,85,62,62,78,83,80,67,84,61,87,71,72,60,81,86,79,0,88,65,61
84,81,74,80,76,76,69,82,84,60,80,72,67,73,73,83,72,87,0,86,89,84,72,85,81
65,62,69,88,68,66,70,70,66,81,69,66,87,74,0,85,63,81,77,69,67,62,64,85,81
73,75,70,65,68,69,76,83,60,71,88,68,88,78,61,76,87,77,74,61,70,78,69,89,76
